vin,nr_ser
JM3ER293490222369,222369;
SALME1D48CA365300,365300;
1C4BJWKGXDL508578,508578;
3VWRA69M74M033915,033915;
JH4DB1550NS000306,000306;
2T1KR32EX3C158977,158977;
WDBNG75J32A225892,225892;
3C8FY68B72T322831,322831;
5TEWN72N63Z275910,275910;
2CNBJ134146900067,900067;
1G1BU51H2HX113345,113345;
1B3HB48B67D562726 ,562726;
JH4DB1540LS020608,020608;
1GKDT13W6P2533357,533357;
5FNRL38489B006926,006926;
3TMMU4FN8CM049190,049190;
JN1AY1AP7BM521083,521083;
YS3ED48E5Y3070016,070016;
JH4KA3250HC004235,004235;
WP0CA29972S650104,650104;
